Model Name,Accuracy Standard (%),Accuracy Strict (%),Correct,Valid,Total
llama-3.2-3b-pt-tow-09_11_2epoch_allenai-merged,0.00,0.00,0,0,1319
qwem-2.5-3b-pt-tow-09_11_2epoch_allenai-merged,0.00,0.00,0,0,1319
gemma-3-4b-pt-tow-09_11_2epoch_allenai-merged,0.00,0.00,0,0,1319
olmo-2-0425-1b-tow-09_11_2epoch_allenai-merged,0.00,0.00,0,0,1319
llama-3.2-3b-tow-09_11_2epoch_org_initialize-merged,0.00,0.00,0,0,1319
qwem-2.5-3b-pt-tow-09_11_2epoch_org_initialize-merged,0.00,0.00,0,0,1319
gemma-3-4b-pt-tow-09_11_2epoch_org_initialize-merged,0.00,0.00,0,0,1319
olmo-2-0425-1b-tow-09_11_2epoch_org_initialize-merged,0.00,0.00,0,0,1319
llama-3.2-3b-tow-09_11_2epoch_fix_tow-merged,0.00,0.00,0,0,1319
qwem-2.5-3b-tow-09_11_2epoch_fix_tow-merged,0.00,0.00,0,0,1319
gemma-3-4b-tow-09_11_2epoch_fix_tow-merged,0.00,0.00,0,0,1319
olmo-2-0425-1b-tow-09_11_2epoch_fix_tow-merged,0.00,0.00,0,0,1319
